Time (sec),Mach Number,Altitude (m),Altitude (ft)
0,2.94E-05,150.5016722,493.7718906
0.01,2.94E-05,150.8324043,494.8569695
0.02,2.94E-05,151.1631364,495.9420485
0.03,2.94E-05,151.4938685,497.0271275
0.04,2.94E-05,151.8246005,498.1122064
0.05,2.94E-05,152.1553326,499.1972854
0.06,2.94E-05,152.4860647,500.2823644
0.07,2.94E-05,152.8167967,501.3674433
0.08,2.94E-05,153.1475288,502.4525223
0.09,2.94E-05,153.4782609,503.5376013
0.1,2.94E-05,153.8089929,504.6226802
0.11,2.94E-05,154.139725,505.7077592
0.12,2.94E-05,154.4704571,506.7928382
0.13,2.94E-05,154.8011891,507.8779172
0.14,2.94E-05,155.1319212,508.9629961
0.15,2.94E-05,155.4626533,510.0480751
0.16,2.94E-05,155.7933854,511.1331541
0.17,2.94E-05,156.1241174,512.218233
0.18,2.94E-05,156.4548495,513.303312
0.19,2.94E-05,156.7855816,514.388391
0.2,2.94E-05,157.1163136,515.4734699
0.21,2.94E-05,157.4470457,516.5585489
0.22,2.94E-05,157.7777778,517.6436279
0.23,2.94E-05,158.1085098,518.7287068
0.24,2.94E-05,158.4392419,519.8137858
0.25,2.94E-05,158.769974,520.8988648
0.26,2.94E-05,159.1007061,521.9839438
0.27,2.94E-05,159.4314381,523.0690227
0.28,2.94E-05,159.7621702,524.1541017
0.29,2.94E-05,160.0929023,525.2391807
0.3,2.94E-05,160.4236343,526.3242596
0.31,2.94E-05,160.7543664,527.4093386
0.32,2.94E-05,161.0850985,528.4944176
0.33,2.94E-05,161.4158305,529.5794965
0.34,2.94E-05,161.7465626,530.6645755
0.35,2.94E-05,162.0772947,531.7496545
0.36,2.94E-05,162.4080268,532.8347335
0.37,2.94E-05,162.7387588,533.9198124
0.38,2.94E-05,163.0694909,535.0048914
0.39,2.94E-05,163.400223,536.0899704
0.4,2.94E-05,163.730955,537.1750493
0.41,2.94E-05,164.0616871,538.2601283
0.42,2.94E-05,164.3924192,539.3452073
0.43,2.94E-05,164.7231512,540.4302862
0.44,2.94E-05,165.0538833,541.5153652
0.45,2.94E-05,165.3846154,542.6004442
0.46,2.94E-05,165.7153475,543.6855231
0.47,2.94E-05,166.0460795,544.7706021
0.48,2.94E-05,166.3768116,545.8556811
0.49,2.94E-05,166.7075437,546.9407601
0.5,2.94E-05,167.0382757,548.025839
0.51,2.94E-05,167.3690078,549.110918
0.52,2.94E-05,167.6997399,550.195997
0.53,2.94E-05,168.0304719,551.2810759
0.54,2.94E-05,168.361204,552.3661549
0.55,2.94E-05,168.6919361,553.4512339
0.56,2.94E-05,169.0226682,554.5363128
0.57,2.94E-05,169.3534002,555.6213918
0.58,2.94E-05,169.6841323,556.7064708
0.59,2.94E-05,170.0148644,557.7915497
0.6,2.94E-05,170.3455964,558.8766287
0.61,2.94E-05,170.6763285,559.9617077
0.62,2.94E-05,171.0070606,561.0467867
0.63,2.94E-05,171.3377926,562.1318656
0.64,2.94E-05,171.6685247,563.2169446
0.65,2.94E-05,171.9992568,564.3020236
0.66,2.94E-05,172.3299889,565.3871025
0.67,2.94E-05,172.6607209,566.4721815
0.68,2.94E-05,172.991453,567.5572605
0.69,2.94E-05,173.3221851,568.6423394
0.7,2.94E-05,173.6529171,569.7274184
0.71,2.94E-05,173.9836492,570.8124974
0.72,0.0003780649725,174.3143813,571.8975763
0.73,0.001646432218,174.6451133,572.9826553
0.74,0.002914808963,174.9758454,574.0677343
0.75,0.004183195209,175.3065775,575.1528133
0.76,0.005451590955,175.6373096,576.2378922
0.77,0.006719996202,175.9680416,577.3229712
0.78,0.00798841095,176.2987737,578.4080502
0.79,0.009256835199,176.6295058,579.4931291
0.8,0.01052526895,176.9602378,580.5782081
0.81,0.0117937122,177.2909699,581.6632871
0.82,0.01306216495,177.621702,582.748366
0.83,0.01433062721,177.952434,583.833445
0.84,0.01559909896,178.2831661,584.918524
0.85,0.01686758022,178.6138982,586.0036029
0.86,0.01813607098,178.9446302,587.0886819
0.87,0.01940457124,179.2753623,588.1737609
0.88,0.02067308101,179.6060944,589.2588399
0.89,0.02194160028,179.9368265,590.3439188
0.9,0.02321012905,180.2675585,591.4289978
0.91,0.02447866732,180.5982906,592.5140768
0.92,0.0257472151,180.9290227,593.5991557
0.93,0.02701577238,181.2597547,594.6842347
0.94,0.02828433916,181.5904868,595.7693137
0.95,0.02955291545,181.9212189,596.8543926
0.96,0.03082150124,182.2519509,597.9394716
0.97,0.03209009653,182.582683,599.0245506
0.98,0.03335870133,182.9134151,600.1096296
0.99,0.03462731563,183.2441472,601.1947085
1,0.03589593944,183.5748792,602.2797875
1.01,0.03716457275,183.9056113,603.3648665
1.02,0.03843321557,184.2363434,604.4499454
1.03,0.03970186789,184.5670754,605.5350244
1.04,0.04097052972,184.8978075,606.6201034
1.05,0.04223920105,185.2285396,607.7051823
1.06,0.04350788188,185.5592716,608.7902613
1.07,0.04477657222,185.8900037,609.8753403
1.08,0.04604527207,186.2207358,610.9604192
1.09,0.04731398143,186.5514679,612.0454982
1.1,0.04858270029,186.8821999,613.1305772
1.11,0.04985142865,187.212932,614.2156562
1.12,0.05112016652,187.5436641,615.3007351
1.13,0.0523889139,187.8743961,616.3858141
1.14,0.05365767079,188.2051282,617.4708931
1.15,0.05492643718,188.5358603,618.555972
1.16,0.05619521308,188.8665923,619.641051
1.17,0.05746399848,189.1973244,620.72613
1.18,0.0587327934,189.5280565,621.8112089
1.19,0.06000159782,189.8587886,622.8962879
1.2,0.06127041174,190.1895206,623.9813669
1.21,0.06253923518,190.5202527,625.0664458
1.22,0.06380806812,190.8509848,626.1515248
1.23,0.06507691058,191.1817168,627.2366038
1.24,0.06634576254,191.5124489,628.3216828
1.25,0.067614624,191.843181,629.4067617
1.26,0.06888349498,192.173913,630.4918407
1.27,0.07015237547,192.5046451,631.5769197
1.28,0.07142126546,192.8353772,632.6619986
1.29,0.07269016496,193.1661093,633.7470776
1.3,0.07395907398,193.4968413,634.8321566
1.31,0.0752279925,193.8275734,635.9172355
1.32,0.07649692053,194.1583055,637.0023145
1.33,0.07776585807,194.4890375,638.0873935
1.34,0.07903480512,194.8197696,639.1724724
1.35,0.08117072874,195.1505017,640.2575514
1.36,0.08347048853,195.4812337,641.3426304
1.37,0.08577026555,195.8119658,642.4277094
1.38,0.08807005981,196.1426979,643.5127883
1.39,0.0903698713,196.47343,644.5978673
1.4,0.09266970002,196.804162,645.6829463
1.41,0.09496954599,197.1348941,646.7680252
1.42,0.09726940919,197.4656262,647.8531042
1.43,0.09956928962,197.7963582,648.9381832
1.44,0.1018691873,198.1270903,650.0232621
1.45,0.1041691022,198.4578224,651.1083411
1.46,0.1064690343,198.7885544,652.1934201
1.47,0.1087689837,199.1192865,653.2784991
1.48,0.1110689504,199.4500186,654.363578
1.49,0.1133689342,199.7807507,655.448657
1.5,0.1156689353,200.1114827,656.533736
1.51,0.1179689536,200.4422148,657.6188149
1.52,0.1202689892,200.7729469,658.7038939
1.53,0.122569042,201.1036789,659.7889729
1.54,0.1248691121,201.434411,660.8740518
1.55,0.1271691994,201.7651431,661.9591308
1.56,0.1294693039,202.0958751,663.0442098
1.57,0.1317694257,202.4266072,664.1292887
1.58,0.1340695647,202.7573393,665.2143677
1.59,0.136369721,203.0880713,666.2994467
1.6,0.1386698945,203.4188034,667.3845257
1.61,0.1409700852,203.7495355,668.4696046
1.62,0.1432702932,204.0802676,669.5546836
1.63,0.1455705184,204.4109996,670.6397626
1.64,0.1478707609,204.7417317,671.7248415
1.65,0.1501710206,205.0724638,672.8099205
1.66,0.1524712976,205.4031958,673.8949995
1.67,0.1547715918,205.7339279,674.9800784
1.68,0.1570719032,206.06466,676.0651574
1.69,0.1593722319,206.395392,677.1502364
1.7,0.1616725778,206.7261241,678.2353153
1.71,0.1632674071,207.0568562,679.3203943
1.72,0.1645897235,207.3875883,680.4054733
1.73,0.1659120499,207.7183203,681.4905523
1.74,0.1672343861,208.0490524,682.5756312
1.75,0.1685567323,208.3797845,683.6607102
1.76,0.1698790884,208.7105165,684.7457892
1.77,0.1712014544,209.0412486,685.8308681
1.78,0.1725238303,209.3719807,686.9159471
1.79,0.1738462161,209.7027127,688.0010261
1.8,0.1751686118,210.0334448,689.086105
1.81,0.1764910175,210.3641769,690.171184
1.82,0.1778134331,210.694909,691.256263
1.83,0.1791358585,211.025641,692.3413419
1.84,0.1804582939,211.3563731,693.4264209
1.85,0.1817807393,211.6871052,694.5114999
1.86,0.1831031945,212.0178372,695.5965789
1.87,0.1844256596,212.3485693,696.6816578
1.88,0.1857481347,212.6793014,697.7667368
1.89,0.1870706197,213.0100334,698.8518158
1.9,0.1883931146,213.3407655,699.9368947
1.91,0.1897156194,213.6714976,701.0219737
1.92,0.1910381341,214.0022297,702.1070527
1.93,0.1923606588,214.3329617,703.1921316
1.94,0.1936831934,214.6636938,704.2772106
1.95,0.1950057378,214.9944259,705.3622896
1.96,0.1963282922,215.3251579,706.4473685
1.97,0.1976508566,215.65589,707.5324475
1.98,0.1989734308,215.9866221,708.6175265
1.99,0.200296015,216.3173541,709.7026055
2,0.201618609,216.6480862,710.7876844
2.01,0.202941213,216.9788183,711.8727634
2.02,0.204263827,217.3095504,712.9578424
2.03,0.2055864508,217.6402824,714.0429213
2.04,0.2069090845,217.9710145,715.1280003
2.05,0.2082317282,218.3017466,716.2130793
2.06,0.2095543818,218.6324786,717.2981582
2.07,0.2108770453,218.9632107,718.3832372
2.08,0.2121997187,219.2939428,719.4683162
2.09,0.2135224021,219.6246748,720.5533952
2.1,0.2148450954,219.9554069,721.6384741
2.11,0.2161677985,220.286139,722.7235531
2.12,0.2174905117,220.6168711,723.8086321
2.13,0.2188132347,220.9476031,724.893711
2.14,0.2201359676,221.2783352,725.97879
2.15,0.2214587105,221.6090673,727.063869
2.16,0.2227814633,221.9397993,728.1489479
2.17,0.224104226,222.2705314,729.2340269
2.18,0.2254269987,222.6012635,730.3191059
2.19,0.2267497812,222.9319955,731.4041848
2.2,0.2280750077,224.2041372,735.5778781
2.21,0.2294005478,225.5821875,740.0990405
2.22,0.2307261295,226.9602378,744.6202029
2.23,0.2320517526,228.3382881,749.1413652
2.24,0.2333774171,229.7163384,753.6625276
2.25,0.2347031232,231.0943887,758.18369
2.26,0.2360288707,232.472439,762.7048523
2.27,0.2373546598,233.8504893,767.2260147
2.28,0.2386804903,235.2285396,771.7471771
2.29,0.2400063623,236.6065899,776.2683395
2.3,0.2413322758,237.9846402,780.7895018
2.31,0.2426582308,239.3626904,785.3106642
2.32,0.2439842273,240.7407407,789.8318266
2.33,0.2453102654,242.118791,794.3529889
2.34,0.2466363449,243.4968413,798.8741513
2.35,0.2479624659,244.8748916,803.3953137
2.36,0.2492886285,246.2529419,807.9164761
2.37,0.2506148325,247.6309922,812.4376384
2.38,0.2519410781,249.0090425,816.9588008
2.39,0.2532673652,250.3870928,821.4799632
2.4,0.2545936939,251.7651431,826.0011256
2.41,0.255920064,253.1431934,830.5222879
2.42,0.2572464757,254.5212437,835.0434503
2.43,0.2585729289,255.8992939,839.5646127
2.44,0.2598994237,257.2773442,844.085775
2.45,0.26122596,258.6553945,848.6069374
2.46,0.2625525378,260.0334448,853.1280998
2.47,0.2638791572,261.4114951,857.6492622
2.48,0.2652058182,262.7895454,862.1704245
2.49,0.2665325207,264.1675957,866.6915869
2.5,0.2678592647,265.545646,871.2127493
2.51,0.2691860503,266.9236963,875.7339117
2.52,0.2705128775,268.3017466,880.255074
2.53,0.2718397462,269.6797969,884.7762364
2.54,0.2731666565,271.0578471,889.2973988
2.55,0.2744936083,272.4358974,893.8185611
2.56,0.2758206018,273.8139477,898.3397235
2.57,0.2771476368,275.191998,902.8608859
2.58,0.2784747134,276.5700483,907.3820483
2.59,0.2798018315,277.9480986,911.9032106
2.6,0.2811289913,279.3261489,916.424373
2.61,0.2824561926,280.7041992,920.9455354
2.62,0.2837834355,282.0822495,925.4666977
2.63,0.2851107201,283.4602998,929.9878601
2.64,0.2864380462,284.8383501,934.5090225
2.65,0.2877654139,286.2164003,939.0301849
2.66,0.2890928232,287.5944506,943.5513472
2.67,0.2904202741,288.9725009,948.0725096
2.68,0.2917477666,290.3505512,952.593672
2.69,0.2930753008,291.7286015,957.1148344
2.7,0.2944028765,293.1066518,961.6359967
2.71,0.2957304939,294.4847021,966.1571591
2.72,0.2970581529,295.8627524,970.6783215
2.73,0.2983858535,297.2408027,975.1994838
2.74,0.2997135957,298.618853,979.7206462
2.75,0.3010413796,299.9969033,984.2418086
2.76,0.3023692051,301.3749535,988.762971
2.77,0.3036970722,302.7530038,993.2841333
2.78,0.3050249809,304.1310541,997.8052957
2.79,0.3063337596,305.5091044,1002.326458
2.8,0.3076088235,306.8871547,1006.84762
2.81,0.3088839273,308.265205,1011.368783
2.82,0.3101590711,309.6432553,1015.889945
2.83,0.3114342549,311.0213056,1020.411108
2.84,0.3127094788,312.3993559,1024.93227
2.85,0.3139847426,313.7774062,1029.453432
2.86,0.3152600464,315.1554565,1033.974595
2.87,0.3165353902,316.5335068,1038.495757
2.88,0.3178107741,317.911557,1043.016919
2.89,0.3190861979,319.2896073,1047.538082
2.9,0.3203616618,320.6676576,1052.059244
2.91,0.3216371656,322.0457079,1056.580407
2.92,0.3229127095,323.4237582,1061.101569
2.93,0.3241882935,324.8018085,1065.622731
2.94,0.3254639174,326.1798588,1070.143894
2.95,0.3267395814,327.5579091,1074.665056
2.96,0.3280152854,328.9359594,1079.186218
2.97,0.3292910294,330.3140097,1083.707381
2.98,0.3305668135,331.69206,1088.228543
2.99,0.3318426376,333.0701102,1092.749706
3,0.3331185017,334.4481605,1097.270868
3.01,0.3343944059,335.8262108,1101.79203
3.02,0.3356703502,337.2042611,1106.313193
3.03,0.3369463345,338.5823114,1110.834355
3.04,0.3382223588,339.9603617,1115.355517
3.05,0.3394984232,341.338412,1119.87668
3.06,0.3407745277,342.7164623,1124.397842
3.07,0.3420506722,344.0945126,1128.919005
3.08,0.3433268568,345.4725629,1133.440167
3.09,0.3446030815,346.8506132,1137.961329
3.1,0.3458793462,348.2286634,1142.482492
3.11,0.347155651,349.6067137,1147.003654
3.12,0.3484319959,350.984764,1151.524816
3.13,0.3497083808,352.3628143,1156.045979
3.14,0.3509848059,353.7408646,1160.567141
3.15,0.352261271,355.1189149,1165.088303
3.16,0.3535377762,356.4969652,1169.609466
3.17,0.3548143215,357.8750155,1174.130628
3.18,0.3560909069,359.2530658,1178.651791
3.19,0.3573675324,360.6311161,1183.172953
3.2,0.358644198,362.0091664,1187.694115
3.21,0.3599209037,363.3872166,1192.215278
3.22,0.3611976495,364.7652669,1196.73644
3.23,0.3624744353,366.1433172,1201.257602
3.24,0.3637512614,367.5213675,1205.778765
3.25,0.3650281275,368.8994178,1210.299927
3.26,0.3663050337,370.2774681,1214.82109
3.27,0.3675819801,371.6555184,1219.342252
3.28,0.3688589666,373.0335687,1223.863414
3.29,0.3701359932,374.411619,1228.384577
3.3,0.3714130599,375.7896693,1232.905739
3.31,0.3726901667,377.1677196,1237.426901
3.32,0.3739673137,378.5457699,1241.948064
3.33,0.3752445009,379.9238201,1246.469226
3.34,0.3765217281,381.3018704,1250.990389
3.35,0.3777989955,382.6799207,1255.511551
3.36,0.3790763031,384.057971,1260.032713
3.37,0.3803536508,385.4360213,1264.553876
3.38,0.3816310386,386.8140716,1269.075038
3.39,0.3829084666,388.1921219,1273.5962
3.4,0.3841859348,389.5701722,1278.117363
3.41,0.3854634431,390.9482225,1282.638525
3.42,0.3867409916,392.3262728,1287.159688
3.43,0.3880185802,393.7043231,1291.68085
3.44,0.389296209,395.0823733,1296.202012
3.45,0.390573878,396.4604236,1300.723175
3.46,0.3918515871,397.8384739,1305.244337
3.47,0.3931293364,399.2165242,1309.765499
3.48,0.3944071259,400.5945745,1314.286662
3.49,0.3956849556,401.9726248,1318.807824
3.5,0.3969628255,403.3506751,1323.328987
3.51,0.3982407355,404.7287254,1327.850149
3.52,0.3995186858,406.1067757,1332.371311
3.53,0.4007966762,407.484826,1336.892474
3.54,0.4020747068,408.8628763,1341.413636
3.55,0.4033527776,410.2409265,1345.934798
3.56,0.4046308887,411.6189768,1350.455961
3.57,0.4059090399,412.9970271,1354.977123
3.58,0.4071872313,414.3750774,1359.498285
3.59,0.408465463,415.7531277,1364.019448
3.6,0.4097437348,417.131178,1368.54061
3.61,0.4110220469,418.5092283,1373.061773
3.62,0.4123003992,419.8872786,1377.582935
3.63,0.4135787917,421.2653289,1382.104097
3.64,0.4148572244,422.6433792,1386.62526
3.65,0.4161356974,424.0214295,1391.146422
3.66,0.4174142105,425.3994797,1395.667584
3.67,0.418692764,426.77753,1400.188747
3.68,0.4199713576,428.1555803,1404.709909
3.69,0.4212499915,429.5336306,1409.231072
3.7,0.4225286656,430.9116809,1413.752234
3.71,0.42380738,432.2897312,1418.273396
3.72,0.4250861346,433.6677815,1422.794559
3.73,0.4263649295,435.0458318,1427.315721
3.74,0.4276437646,436.4238821,1431.836883
3.75,0.42892264,437.8019324,1436.358046
3.76,0.4302015556,439.1799827,1440.879208
3.77,0.4314805115,440.5580329,1445.400371
3.78,0.4327595077,441.9360832,1449.921533
3.79,0.4340385441,443.3141335,1454.442695
3.8,0.4353176208,444.6921838,1458.963858
3.81,0.4365967377,446.0702341,1463.48502
3.82,0.437875895,447.4482844,1468.006182
3.83,0.4391550925,448.8263347,1472.527345
3.84,0.4404343303,450.204385,1477.048507
3.85,0.4417136084,451.5824353,1481.56967
3.86,0.4429929267,452.9604856,1486.090832
3.87,0.4442722854,454.3385359,1490.611994
3.88,0.4455516843,455.7165862,1495.133157
3.89,0.4468311236,457.0946364,1499.654319
3.9,0.4481106031,458.4726867,1504.175481
3.91,0.449390123,459.850737,1508.696644
3.92,0.4506696831,461.2287873,1513.217806
3.93,0.4519492835,462.6068376,1517.738969
3.94,0.4532289243,463.9848879,1522.260131
3.95,0.4545086054,465.3629382,1526.781293
3.96,0.4557883267,466.7409885,1531.302456
3.97,0.4570680884,468.1190388,1535.823618
3.98,0.4583478905,469.4970891,1540.34478
3.99,0.4596277328,470.8751394,1544.865943
4,0.4609076155,472.2531896,1549.387105
4.01,0.4621875385,473.6312399,1553.908268
4.02,0.4634675018,475.0092902,1558.42943
4.03,0.4647475055,476.3873405,1562.950592
4.04,0.4660275495,477.7653908,1567.471755
4.05,0.4673076338,479.1434411,1571.992917
4.06,0.4685877585,480.5214914,1576.514079
4.07,0.4698679235,481.8995417,1581.035242
4.08,0.4711481289,483.277592,1585.556404
4.09,0.4724283746,484.6556423,1590.077566
4.1,0.4737086607,486.0336926,1594.598729
4.11,0.4749889871,487.4117428,1599.119891
4.12,0.4762693539,488.7897931,1603.641054
4.13,0.4775497611,490.1678434,1608.162216
4.14,0.4788302086,491.5458937,1612.683378
4.15,0.4801106965,492.923944,1617.204541
4.16,0.4813912248,494.3019943,1621.725703
4.17,0.4826717934,495.6800446,1626.246865
4.18,0.4839524025,497.0580949,1630.768028
4.19,0.4852330519,498.4361452,1635.28919
4.2,0.4865137417,499.8141955,1639.810353
4.21,0.4877944718,501.1922458,1644.331515
4.22,0.4890785572,503.1643941,1650.801818
4.23,0.490364477,505.4540777,1658.313903
4.24,0.4916504643,507.7437613,1665.825988
4.25,0.4929365192,510.0334448,1673.338074
4.26,0.4942226416,512.3231284,1680.850159
4.27,0.4955088316,514.6128119,1688.362244
4.28,0.4967950891,516.9024955,1695.874329
4.29,0.4980814141,519.1921791,1703.386414
4.3,0.4993678068,521.4818626,1710.898499
4.31,0.500654267,523.7715462,1718.410585
4.32,0.5019407947,526.0612297,1725.92267
4.33,0.5032273901,528.3509133,1733.434755
4.34,0.5045140531,530.6405969,1740.94684
4.35,0.5058007837,532.9302804,1748.458925
4.36,0.5070875819,535.219964,1755.97101
4.37,0.5083744477,537.5096475,1763.483096
4.38,0.5096613812,539.7993311,1770.995181
4.39,0.5109483823,542.0890147,1778.507266
4.4,0.512235451,544.3786982,1786.019351
4.41,0.5135225874,546.6683818,1793.531436
4.42,0.5148097915,548.9580653,1801.043521
4.43,0.5160970632,551.2477489,1808.555607
4.44,0.5173844026,553.5374325,1816.067692
4.45,0.5186718098,555.827116,1823.579777
4.46,0.5199592846,558.1167996,1831.091862
4.47,0.5212468271,560.4064831,1838.603947
4.48,0.5225344373,562.6961667,1846.116033
4.49,0.5238221152,564.9858503,1853.628118
4.5,0.5251098609,567.2755338,1861.140203
4.51,0.5263976743,569.5652174,1868.652288
4.52,0.5276855554,571.854901,1876.164373
4.53,0.5289735043,574.1445845,1883.676458
4.54,0.5302615209,576.4342681,1891.188544
4.55,0.5315496054,578.7239516,1898.700629
4.56,0.5328377575,581.0136352,1906.212714
4.57,0.5341259775,583.3033188,1913.724799
4.58,0.5354142653,585.5930023,1921.236884
4.59,0.5367026209,587.8826859,1928.748969
4.6,0.5379910442,590.1723694,1936.261055
4.61,0.5392795354,592.462053,1943.77314
4.62,0.5405680944,594.7517366,1951.285225
4.63,0.5418567213,597.0414201,1958.79731
4.64,0.543145416,599.3311037,1966.309395
4.65,0.5444341785,601.6207872,1973.82148
4.66,0.5457230089,603.9104708,1981.333566
4.67,0.5470119071,606.2001544,1988.845651
4.68,0.5483008732,608.4898379,1996.357736
4.69,0.5495899072,610.7795215,2003.869821
4.7,0.5508790091,613.069205,2011.381906
4.71,0.5521681789,615.3588886,2018.893991
4.72,0.5534574166,617.6485722,2026.406077
4.73,0.5547467222,619.9382557,2033.918162
4.74,0.5560360957,622.2279393,2041.430247
4.75,0.5573255371,624.5176228,2048.942332
4.76,0.5586150465,626.8073064,2056.454417
4.77,0.5599046238,629.09699,2063.966503
4.78,0.5611942691,631.3866735,2071.478588
