Time (sec),Mach Number,Altitude (ft)
0.0,0.0,1999.80519089049
0.0,0.0,1999.816469176453
0.0,0.0,1999.8282214931874
0.0,0.0,1999.8616546403844
0.0,0.0,1999.8712610562814
0.0,0.0,1999.889284122931
0.0,0.0,1999.920640129799
0.0,0.0,1999.9498976389064
0.0,0.0,1999.9724960140957
0.0,0.0,1999.9969100313212
0.0,0.0,1999.9994318142503
0.0,0.0,2000.0049179824662
0.0,0.0,2000.0315104141782
0.0,0.0,2000.0470683905896
0.0,0.0,2000.04728734766
0.0,0.0,2000.057988331863
0.0,0.0,2000.0716729317212
0.0,0.0,2000.0898298729956
0.0,0.0,2000.1477499218195
0.0,0.0,2000.1595070569986
0.0,0.0,2000.1462574194406
0.0,0.0,2000.1394806026087
0.0,0.0,2000.134173411395
0.0,0.0,2000.1711049230473
0.0,0.0,2000.1773547496264
0.0,0.0,2000.1175088856805
0.0,0.0,2000.1305842344516
0.0,0.0,2000.1121974837542
0.0,0.0,2000.0826549050428
0.0,0.0,2000.0734013642498
0.0,0.0,2000.0392045586898
0.0,0.0,2000.0040447587492
0.0,0.0,1999.9798642407475
0.0,0.0,1999.9920931494078
0.0,0.0,2000.0184503455198
0.0,0.0,2000.0070095781302
0.0,0.0,1999.972937704855
0.0,0.0,2000.0170002975453
0.0,0.0,2000.0333972042392
0.0,0.0,2000.0471138402431
0.0,0.0,2000.009671226183
0.0,0.0,2000.0191554011776
0.0,0.0,2000.0321154545525
0.0,0.0,2000.0593178319018
0.0,0.0,2000.0647942764097
0.0,0.0,2000.0624022876202
0.0,0.0,2000.0720011936892
0.0,0.0,2000.082381729618
0.0,0.0,2000.0507143904522
0.0,0.0,2000.0479364051778
0.0,0.0,2000.065465125452
0.0,0.0,2000.069560022037
0.0,0.0,2000.0776162878567
0.0,0.0,2000.0713067733373
0.0,0.0,2000.0686416091219
0.0,0.0,2000.0195440022271
0.0,0.0,2000.0223192527096
0.0,0.0,2000.0299350432333
0.0,0.0,2000.0040636418435
0.0,0.0,1999.9971254722293
0.0,0.0,1999.9440342863159
0.0,0.0,1999.9135842338617
0.0,0.0,1999.9096331960657
0.0,0.0,1999.914176381641
0.0,0.0,1999.9093484303278
0.0,0.0,1999.915235050363
0.0,0.0,1999.9261690562853
0.0,0.0,1999.9309213015847
0.0,0.0,1999.9454305066201
0.0,0.0,1999.9703946947238
0.0,0.0,1999.977169124039
0.0,0.0,1999.9847817890854
0.0,0.0,2000.0128793553138
0.0,0.0,1999.9875994071522
0.0,0.0,2000.0150617634658
0.0,0.0,2000.0256317814742
0.0,0.0,2000.0334139602721
0.0,0.0,2000.0569185069216
0.0,0.0,2000.029182367451
0.0,0.0,1999.9790242686388
0.0,0.0,1999.9650941451505
0.0,0.0,2000.0193768325846
0.0,0.0,2000.0236515743604
0.0,0.0,2000.0397075869473
0.0,0.0,1999.9930114320937
0.0,0.0,1999.9770207506708
0.0,0.0,2000.0237788507543
0.0,0.0,1999.9993242891383
0.0,0.0,2000.02451872076
0.0,0.0,2000.0076422702996
0.0,0.0,2000.0098172988517
0.0,0.0,2000.0277843239517
0.0,0.0,2000.0507532418756
0.0,0.0,2000.1007592775202
0.0,0.0,2000.1021317528766
0.0,0.0,2000.1054802680437
0.0,0.0,2000.1468310314017
0.0,0.0,2000.193775574906
