t_vec,mach,alt,q_conv,q_net,T_recovery,T_wall:x=0.0000,T_wall:x=0.0010,T_wall:x=0.0020,T_wall:x=0.0030,T_wall:x=0.0040,T_wall:x=0.0050,T_wall:x=0.0060,T_wall:x=0.0070,T_wall:x=0.0080,T_wall:x=0.0090,T_wall:x=0.0100
0.0,0.0,0.0,55841.06282566642,55841.06282566642,340.36230340861323,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.005,0.005,0.01429012,55706.83294445284,55706.32188806405,340.36219402962195,290.11541224955704,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.01,0.01,0.02858024,55619.20430164384,55618.35948695542,340.362084650631,290.1907108528392,290.0398351638476,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.015,0.01,0.08492736999999999,55545.425035708664,55544.30132453723,340.36165336018956,290.2535872570748,290.07816140330493,290.01374932283926,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.02,0.01,0.1412745,55481.6687820007,55480.30429343754,340.36122206975443,290.30783697546303,290.1164784092197,290.0312358483924,290.0047456533444,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.025,0.012600315,0.25322720000000004,55423.68443293705,55422.104046775,340.3603651649284,290.35645516273735,290.1531049239859,290.0515145460717,290.0122508998401,290.00163798798883,290.0,290.0,290.0,290.0,290.0,290.0
0.03,0.01520063,0.3651799,55370.64962553846,55368.87216121489,340.3595082601275,290.4008140710031,290.18822789182616,290.0730269555273,290.02213985619244,290.0047357316335,290.00056536043763,290.0,290.0,290.0,290.0,290.0
0.035,0.020231500000000003,0.5328918000000001,55320.67423851903,55318.7142672645,340.35822456507555,290.4418751247371,290.221840936553,290.09522522514743,290.0336966865239,290.0093034333771,290.00180964945184,290.00019513722117,290.0,290.0,290.0,290.0
0.04,0.02526237,0.7006037,55273.80739993323,55271.6767387605,340.3569408700798,290.4802617914875,290.2540848304477,290.11769041581914,290.04651413170126,290.0151363768295,290.0038389119622,290.0006850422034,290.00006735267016,290.0,290.0,290.0
0.045,0.030308024999999995,0.9242248499999999,55228.74352770675,55226.451974688884,340.3552292364002,290.5164310297587,290.28507376325746,290.1402008072611,290.0602508099091,290.0220671978256,290.00664971797886,290.00156041856263,290.0002573044231,290.0000232471394,290.0,290.0
0.05,0.03535368,1.147846,55185.86729534362,55183.42316438871,340.3535176028207,290.550718787011,290.3149242920569,290.16260931853265,290.07466670429534,290.02992505183425,290.0102145454671,290.0028672409444,290.00062629519465,290.000096009404,290.0000080238762,290.0
0.055,0.040411685058005055,1.4273897795437793,55144.10109583047,55141.51154763067,340.351377928248,290.58338607889897,290.34373770161125,290.1848277874499,290.08957775054336,290.0385646876595,290.0144817716328,290.0046297283681,290.0012167387569,290.00024867173846,290.0000356230739,290.0000027694844
0.06,0.045469690096309995,1.7069336707129996,55103.98295276353,55101.25424829554,340.3492382529772,290.6146365595136,290.3716050200266,290.20680033932973,290.1048463820368,290.047859773897,290.01939363454466,290.0068522026574,290.0020606170493,290.000509270418,290.00009781838133,290.00001315317644
0.065,0.05051784509631,2.042290170713,55064.5477881887,55061.68545547804,340.34667137895497,290.64463611960366,290.39860544458423,290.22849360736967,290.12036710646754,290.05770376837347,290.0248901336904,290.00952710413026,290.0031790031049,290.0009027112193,290.0002106106286,290.0000378359409
0.07,0.05556600007651001,2.3776467821180005,55026.41256087905,55023.42153609279,340.34410450430505,290.6735187310604,290.42480924318176,290.24988818236176,290.1360589636702,290.0680065553891,290.0309133046881,290.0126386556045,290.00458441011205,290.0014495034362,290.00038985878047,290.00008441078114
0.075,0.06060425507651,2.7687057821179994,54988.67533550153,54985.56005438674,340.3411112746971,290.70139765190277,290.4502777189564,290.2709743629906,290.15185907804386,290.0786922765281,290.03740864709494,290.0161662833321,290.0062823465836,290.0021657913772,290.0006501738467,290.00016070297573
0.08,0.06564251005649,3.1597648932999998,54951.99813804136,54948.76262347112,340.338118044544,290.72836634248716,290.47506559998266,290.29174860211964,290.1677184462916,290.0896969262838,290.0443259986304,290.020086706016,290.008272989601,290.0030635191216,290.0010043539313,290.00027417899776
0.085,0.07067075505649001,3.6064148933,54915.51797421475,54912.165889129625,340.3346993130445,290.7545062619341,290.49922086898715,290.3122117771772,290.1835985764627,290.10096645530825,290.0516196970669,290.0243754610286,290.01055248090233,290.00415086407713,290.00146306212594,290.000431568468
0.09,0.07569900003635,4.053065004257999,54879.92431126069,54876.45901768499,340.3312805810947,290.77988553042576,290.52278680460614,290.3323674356861,290.19946919544117,290.1124550788336,290.05924850247345,290.0290078802939,290.0131140046938,290.00543270742196,290.002034745916,290.0006386359009
0.095,0.08071717503635,4.555194004258,54844.37995245277,54840.804542997714,340.3274372052613,290.80456511831807,290.54580154626086,290.3522211652015,290.21530634955707,290.12412393469776,290.0671753261097,290.0339597376822,290.0159486206429,290.0069111239913,290.00272569581466,290.0009000821994
0.1,0.08573535001601999,5.057323115145886,54809.59184460728,54805.90918502218,340.3235938290833,290.82859638487196,290.5682998781405,290.37177959241774,290.2310911357077,290.1359399185918,290.07536690672896,290.03920764343997,290.0190459143862,290.00858584173955,290.00354019860845,290.001219534387
0.105,0.09074336000800999,5.614896057572943,54774.739831288476,54770.9525791935,340.3193260775802,290.8520264290206,290.59031258669796,290.39105025099315,290.2468085609148,290.1478747736622,290.0837934444518,290.04472927914037,290.0223944937099,290.0104546614508,290.00448073985746,290.0015995953211
0.11,0.09575137,6.172469,54740.54339995494,54736.65403730049,340.3150583266988,290.8748950238274,290.61186806289913,290.41004092522354,290.26244682929257,290.15990428857015,290.0924282542466,290.0505035153344,290.02598236817175,290.0125138278719,290.0055482286317,290.002041928983
0.115,0.10076358500000002,6.785567000000001,54706.19305756852,54702.20390132979,340.3103655790229,290.89723950043594,290.6329915137986,290.4287597537027,290.27799661790004,290.17200768342923,290.10124742242965,290.0565104594113,290.02979723537186,290.0147583532459,290.0067422246465,290.00254736445993
0.12,0.1057758,7.398665,54672.418622721234,54668.331850877235,340.3056728320987,290.91909133189444,290.6537064398742,290.44721473935283,290.2934506763128,290.1841670511328,290.1102295048595,290.0627314506677,290.03382669779654,290.0171822947119,290.00806115616297,290.0031160065448
0.125,0.11079839999999999,8.067403,54638.41770529411,54634.235362223924,340.3005542088653,290.94048074757626,290.67403374431433,290.46541396938625,290.30880334067007,290.1963669419591,290.1193552389402,290.0691490294552,290.0380584240167,290.0197789902672,290.00950252139,290.00374734519653
0.13,0.115821,8.736141,54604.928389647575,54600.65240778188,340.29543558652625,290.9614330992162,290.693993125787,290.4833652082615,290.32405031572563,290.2085939677953,290.12860730040717,290.07574688386114,290.0424802694037,290.02254125699517,290.01106307008,290.0044403589541
0.135,0.12085404999999999,9.4606305,54571.15334925814,54566.78555085846,340.2898902347379,290.9819733126031,290.7136021149899,290.5010761771216,290.3391883302534,290.22083652039646,290.1379700729986,290.0825097909147,290.0470803635302,290.02546155679966,290.0127389638813,290.0051936096417
0.14,0.1258871,10.18512,54537.83714856677,54533.379264389885,340.2843448839991,291.00212211292853,290.73287740925537,290.51855418885486,290.35421502953596,290.2330844856963,290.147429459588,290.0894235490471,290.0518471741478,290.0285321332436,290.0145259158889,290.00600532704385
0.145,0.13093044999999998,10.965479999999998,54504.185971061816,54499.639639597255,340.27837189329057,291.0219003738226,290.7518338570615,290.5358064586148,290.36912871750104,290.24532905303494,290.156972701775,290.0964749140689,290.0567695509194,290.03174512417604,290.0164193103191,290.0068734832955
0.15,0.1359738,11.74584,54470.94973648745,54466.31652050466,340.27239890379957,291.0413252484516,290.770485751817,290.5528397604803,290.3839283181958,290.2575625048071,290.1665882360704,290.10365153216776,290.0618367557388,290.0350926530121,290.0184143041211,290.00779585722614
0.155,0.1410276,12.58218,54437.33723481331,54432.61861876496,340.26599743655885,291.0604144526979,290.78884577865387,290.5696607543868,290.3986131727461,290.269778088382,290.17626555362847,290.11094187998543,290.0670384804996,290.0385669025379,290.0205059121596,290.00877008935805
0.16,0.1460814,13.41852,54404.102719570066,54399.30012460276,340.25959597071665,291.0791823306191,290.8069262794656,290.58627565377213,290.41318304511134,290.28196985794415,290.1859950919169,290.11833520377894,290.07236485738974,290.04216017330185,290.0226890780519,290.00979372834007
0.165,0.1511457,14.31096,54370.4566889868,54365.57146899324,340.25276510900204,291.0976440939747,290.8247381719338,290.6026905612714,290.4276379545637,290.2941325901084,290.1957681255799,290.12582146674197,290.0778064612347,290.04586492970054,290.0249587322865,290.01086426977747
0.17,0.15621,15.2034,54337.15721584629,54332.190671340795,340.24593424887996,291.1158118405193,290.84229219392495,290.6189111417535,290.44197821054945,290.30626166229706,290.2055766853317,290.13339129583056,290.08335430794745,290.0496738351198,290.0273098395309,290.011979188317
0.17500000000000002,0.16128475,16.152050000000003,54303.4160844165,54298.36945756911,340.2386731513308,291.1336987653087,290.85959780170566,290.6349429626066,290.4562042686532,290.31835299911285,290.2154134725062,290.141035936766,290.0889998478248,290.0535797786112,290.02973743648573,290.0131359639118
0.18,0.1663595,17.1007,54269.99455039007,54264.869038047254,340.2314120555808,291.15131514373104,290.8766643997384,290.65079116911977,290.47031678493335,290.3304029765226,290.2252717985534,290.1487472082926,290.0947349571471,290.0575758939049,290.0322366618807,290.01433210302093
0.185,0.17144469999999998,18.10568,54236.105124258684,54230.90187219924,340.2237198043342,291.16867252383867,290.8935002230136,290.66646082717654,290.4843164876337,290.3424083900555,290.2351455174425,290.156517464229,290.1005519263515,290.06165557275204,290.0348027796437,290.0155651555281
