t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0006,T_wall:y=0.0017,T_wall:y=0.0029,T_wall:y=0.0040,T_wall:y=0.0052,T_wall:y=0.0064,T_wall:y=0.0075,T_wall:y=0.0087,T_wall:y=0.0098,T_wall:y=0.0110,T_wall:y=0.0121
0.0,0.001,0.0,288.15,0.07092749999999999,2329.848724716181,0,25.019909448100528,3.62604829595717,28.896080350216653,53.915989798317185,288.15,288.15004859449783,288.15005762999994,288.15005762999994,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.25
0.005,0.0028641616864161687,0.03128170332817033,288.14979666892935,0.5818460677330834,6673.044716762165,0,42.343736383517744,6.136651601971305,28.894961985631618,71.23869836914936,288.14979666892935,288.15019530983784,288.15026943181516,288.15026943181516,281.250058373611,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.250058373611
0.01,0.0047283233728323375,0.06256340665634066,288.1495933378607,1.5857173284529713,11016.216320305204,0,54.40875719154666,7.884704173886569,28.89377151410703,83.30252870565369,288.1495933378607,288.15067976560044,288.1508817723681,288.1508817723681,281.2501346098616,281.2500008922614,281.25,281.25,281.25,281.25,281.25,281.25,281.25,281.2500008922614,281.2501346098616
0.015,0.006592485059248506,0.093845109984511,288.1493900067941,3.082535797382568,15359.363535423841,0,64.25177178466299,9.310124959780259,28.89253296708358,93.14430475174657,288.1493900067941,288.1515019610922,288.15189465081085,288.15189465081085,281.2502227556862,281.25000292254396,281.25000001363856,281.25,281.25,281.25,281.25,281.25,281.25000001363856,281.25000292254396,281.2502227556862
0.02,0.008456646745664674,0.12512681331268133,288.1491866757295,5.072295989777835,19702.486362196654,0,72.78226939552471,10.544576468963141,28.891256720806723,101.67352611633143,288.1491866757295,288.1526618956198,288.1533080662956,288.1533080662956,281.2503202406703,281.25000623830806,281.2500000578937,281.25000000020844,281.25,281.25,281.25,281.25000000020844,281.2500000578937,281.25000623830806,281.2503202406703
0.025,0.010320808432080844,0.15640851664085167,288.1489833446668,7.554992420927783,24045.5848007022,0,80.4211110036754,11.648929470088484,28.889949008775833,109.31106001245124,288.1489833446668,288.1541595684895,288.15512201797424,288.15512201797424,281.2504255206376,281.250010943476,281.2500001514818,281.250000001087,281.2500000000032,281.25,281.2500000000032,281.250000001087,281.2500001514818,281.250010943476,281.2504255206376
0.03,0.01218497011849701,0.187690219969022,288.1487800136062,10.53061960615446,28388.658851019005,0,87.40433131818452,12.657283314291199,28.888614123364878,116.29294544154939,288.1487800136062,288.15599497900797,288.15733650499897,288.15733650499897,281.25053753226683,281.2500171154759,281.2500003141424,281.2500000033693,281.2500000000197,281.2500000000001,281.2500000000197,281.2500000033693,281.2500003141424,281.2500171154759,281.25053753226683
0.035,0.01404913180491318,0.21897192329719237,288.14857668254757,13.999172060812986,32731.708513225647,0,93.88015695079947,13.591022098188015,28.887255254933955,122.76741220573342,288.14857668254757,288.1581681264819,288.1599515265219,288.1599515265219,281.25065548522764,281.2500248134172,281.2500005662065,281.25000000806835,281.2500000000706,281.25000000000074,281.2500000000706,281.25000000806835,281.2500005662065,281.2500248134172,281.25065548522764
0.04,0.01591329349132935,0.25025362662536266,288.14837335149093,17.960644300291516,37074.73378740068,0,99.94896376580823,14.464602987737257,28.88587489358244,128.83483865939067,288.14837335149093,288.1606790102176,288.1629670816952,288.1629670816952,281.2507787626586,281.2500340828328,281.25000092830237,281.25000001647743,281.2500000001918,281.2500000000029,281.2500000001918,281.25000001647743,281.25000092830237,281.2500340828328,281.2507787626586
0.045,0.017777455177745517,0.281535329953533,288.14817002043634,22.415030840011273,41417.73467362267,0,105.68250876274172,15.288341771631368,28.884475049829184,134.5669838125709,288.14817002043634,288.1635276295217,288.1663831696707,288.1663831696707,281.2509068665006,281.25004495875,281.25000142114357,281.25000003016606,281.2500000004378,281.2500000000087,281.2500000004378,281.25000003016606,281.25000142114357,281.25004495875,281.2509068665006
0.05,0.019641616864161687,0.31281703328170335,288.1479666893837,27.362326195426498,45760.71117197016,0,111.13423339678124,16.06990493887416,28.883057387672693,140.01729078445393,288.1479666893837,288.16671398370056,288.1701997896006,288.1701997896006,281.25103938453475,281.25005746782864,281.25000206536976,281.25000005097326,281.2500000008857,281.2500000000218,281.2500000008857,281.25000005097326,281.25000206536976,281.25005746782864,281.25103938453475
0.055,0.021505778550577857,0.34409873660987367,288.14776335833307,32.80252488202453,50103.66328252172,0,116.34523611364148,16.815174424298846,28.88162331045732,145.2268594240988,288.14776335833307,288.1702380720611,288.1744169406372,288.1744169406372,281.25117596911224,281.25007162992836,281.25000288142525,281.2500000809984,281.25000000163806,281.25000000004826,281.25000000163806,281.2500000809984,281.25000288142525,281.25007162992836,281.25117596911224
0.06,0.023369940236994024,0.375380439938044,288.14756002728444,38.73562141532569,54446.59100535587,0,121.3479509648666,17.528780109423337,28.880174019221915,150.2281249840885,288.14756002728444,288.17409989390956,288.17903462193226,288.17903462193226,281.25131632269967,281.2500874593001,281.25000388946506,281.25000012259085,281.2500000028268,281.25000000009686,281.2500000028268,281.25000012259085,281.25000388946506,281.2500874593001,281.25131632269967
0.065,0.025234101923410194,0.40666214326621436,288.14735669623786,45.16161031088345,58789.4943405512,0,126.16852535913141,18.214443934219904,28.87871055400934,155.04723591314075,288.14735669623786,288.1782994485525,288.18405283263803,288.18405283263803,281.25146018764616,281.2501049655195,281.2500051092817,281.2500001783382,281.25000000461574,281.2500000001803,281.25000000461574,281.2500001783382,281.2500051092817,281.2501049655195,281.25146018764616
0.07,0.027098263609826364,0.43794384659438473,288.1471533651932,52.08048608428422,63132.373288186296,0,130.82841867666892,18.875211191370234,28.877233824090162,159.70565250075907,288.1471533651932,288.1828367352965,288.1894715719066,288.1894715719066,281.251607338696,281.25012415423345,281.25000656024855,281.250000251054,281.25000000720337,281.2500000003159,281.25000000720337,281.250000251054,281.25000656024855,281.25012415423345,281.251607338696
0.075,0.02896242529624253,0.469225549922555,288.1469500341506,59.492243251147514,67475.22784833964,0,135.34551284311303,19.513611163935938,28.87574463069702,164.22125747381006,288.1469500341506,288.187711753448,288.19529083888995,288.19529083888995,281.25175757735724,281.25014502776946,281.25000826127615,281.25000034376495,281.25000001082543,281.2500000005264,281.25000001082543,281.25000034376495,281.25000826127615,281.25014502776946,281.25175757735724
0.08,0.0308265869826587,0.5005072532507253,288.14674670311,67.39687632712592,71818.0580210898,0,139.73490553176515,20.13177182275545,28.874243684513797,168.60914921627895,288.14674670311,288.19292450231376,288.20151063274034,288.20151063274034,281.25191072756894,281.2501675856388,281.2500102307787,281.25000045969784,281.2500000157571,281.2500000008413,281.2500000157571,281.25000045969784,281.2500102307787,281.2501675856388,281.25191072756894
0.085,0.03269074866907487,0.5317889565788957,288.1465433720714,75.79437982790503,76160.86380651538,0,144.00949030818506,20.731503688665008,28.872731619404046,172.88222192758911,288.1465433720714,288.19847498120004,288.2081309526097,288.2081309526097,281.25206663230045,281.250191824958,281.2500124866492,281.2500006022665,281.2500000223149,281.2500000012973,281.2500000223149,281.2500006022665,281.2500124866492,281.250191824958,281.25206663230045
0.09,0.034554910355491034,0.563070659907066,288.14634004103476,84.6847482692035,80503.64520469493,0,148.18038977598735,21.31436242401473,28.871209003366026,177.05159877935338,288.14634004103476,288.2043631894136,288.2151517976502,288.2151517976502,281.2522251508376,281.25021774080506,281.250015046242,281.2500007750587,281.2500000308584,281.2500000019398,281.2500000308584,281.2500007750587,281.250015046242,281.25021774080506,281.2522251508376
0.095,0.036419072041907204,0.5943523632352363,288.1461367100002,94.06797616677302,84846.40221570693,0,152.25728485699824,21.881696397839026,28.86967634740611,181.12696120440435,288.1461367100002,288.21058912626086,288.2225731670139,288.2225731670139,281.2523861565846,281.2502453265227,281.2500179263604,281.25000098182346,281.25000004179174,281.25000000282387,281.25000004179174,281.25000098182346,281.2500179263604,281.2502453265227,281.2523861565846
0.1,0.03828323478159553,0.6256342305124328,288.1459333779019,103.9440637539253,89189.13729214459,0,156.2486713436493,22.43468372011043,28.868134108190684,185.11680545183998,288.1459333779019,288.2171527939013,288.2303950634344,288.2303950634344,281.2525495352608,281.2502745739791,281.25002114324946,281.25000122645804,281.25000005556484,281.25000000401513,281.25000005556484,281.25000122645804,281.25002114324946,281.2502745739791,281.2525495352608
0.105,0.040674032542515746,0.7388904468268109,288.14519721265384,117.33054015406395,94758.05837192111,0,161.24374037864618,23.12442937997065,28.864269629987415,190.10801000863358,288.14519721265384,288.22558952893814,288.24053736561774,288.24053736561774,281.2527151834069,281.25030547379237,281.250024712593,281.25000151299577,281.2500000726744,281.25000000559106,281.2500000726744,281.25000151299577,281.250024712593,281.25030547379237,281.2527151834069
0.11,0.04306483030343597,0.8521466631411895,288.14446104743206,131.52740608372028,100326.86622027648,0,166.1236937575912,23.794169314285337,28.86039167485593,194.98408543244713,288.14446104743206,288.23458173211804,288.25133841581675,288.25133841581675,281.25288417574,281.25033801552587,281.2500286495137,281.25000184559406,281.2500000936649,281.25000000764186,281.2500000936649,281.25000184559406,281.2500286495137,281.25033801552587,281.25288417574
0.115,0.0454556280643562,0.9654028794555679,288.14372488223654,146.5346288888075,105895.56083853124,0,170.9006105336951,24.445547859627613,28.85650085096276,199.75711138465786,288.14372488223654,288.244129399311,288.2627982089818,288.2627982089818,281.2530563615927,281.25037220572057,281.25003296857574,281.25000222852265,281.25000011912886,281.25000001027166,281.25000011912886,281.25000222852265,281.25003296857574,281.25037220572057,281.2530563615927
0.12,0.047846425825276415,1.078659095769946,288.14298871706717,162.3521759159517,111464.1422280059,0,175.58507286621668,25.0799956830961,28.85259770397939,204.43767057019608,288.14298871706717,288.25423252638757,288.27491674006353,288.27491674006353,281.2532316057789,281.2504080486371,281.2500376840635,281.25000266615245,281.2500001497078,281.2500000135995,281.2500001497078,281.25000266615245,281.2500376840635,281.2504080486371,281.2532316057789
0.125,0.050237223586196644,1.1919153120843244,288.1422525519241,178.98001451249132,117032.61039002101,0,180.18642304114562,25.698766744554252,28.848682724722085,209.0351057658677,288.1422525519241,288.264891109218,288.28769400401256,288.28769400401256,281.2534097867017,281.2504455465578,281.2500428099565,281.25000316294893,281.25000018609205,281.25000001776044,281.25000018609205,281.25000316294893,281.2500428099565,281.2504455465578,281.2534097867017
0.13,0.052628021347116874,1.305171528398703,288.14151638680727,196.4181120264774,122600.96532589727,0,184.71296614621704,26.302967422937172,28.844756355529068,213.5577225017461,288.14151638680727,288.27610514367257,288.30112999577943,288.30112999577943,281.2535907947729,281.2504847000502,281.25004835991,281.2500037234652,281.25000022902134,281.2500000229065,281.25000022902134,281.2500037234652,281.25004835991,281.2504847000502,281.2535907947729
0.135,0.0550188191080371,1.4184277447130813,288.1407802217166,214.66643580667292,128169.20703695496,0,189.17213183483938,26.89357974613432,28.840818995643023,218.0129508304824,288.1407802217166,288.2878746256216,288.3152247103147,288.3152247103147,281.25377453108024,281.2505255081983,281.2500543472403,281.25000435233534,281.2500002792846,281.25000002920757,281.2500002792846,281.25000435233534,281.2500543472403,281.2505255081983,281.25377453108024
0.14,0.05740961686895732,1.53168396102746,288.14004405665224,233.72495320255413,133737.33552451478,0,193.5706048546554,27.47148012092318,28.836871005786207,222.4074758604416,288.14004405665224,288.3001995509356,288.329978142569,288.329978142569,281.25396090625384,281.2505679688055,281.25006078491316,281.2500050542672,281.2500003377201,281.2500000368526,281.2500003377201,281.2500050542672,281.25006078491316,281.2505679688055,281.25396090625384
0.145,0.059800414629877535,1.6449401773418377,288.13930789161407,253.59363156430913,139305.35078989711,0,197.91443142157766,28.037454584617638,28.8329127120845,226.74734413366215,288.13930789161407,288.3130799154846,288.3453902874928,288.3453902874928,281.254149839494,281.2506120785747,281.2500676855366,281.25000583403585,281.25000040521536,281.25000004605033,281.25000040521536,281.25000583403585,281.2500676855366,281.2506120785747,281.254149839494
0.15,0.062191212390797765,1.758196393656216,288.1385717266021,274.2724382428387,144873.25283442257,0,202.2091066967504,28.59221133677973,28.828944409454635,231.03805110620505,288.1385717266021,288.326515715139,288.36146114003674,288.36146114003674,281.2543412577322,281.2506578332671,281.2500750613556,281.2500066964766,281.25000048270687,281.25000005703026,281.25000048270687,281.2500066964766,281.2500750613556,281.2506578332671,281.2543412577322
0.155,0.064582010151718,1.8714526099705946,288.13783556161644,295.76134058975583,150441.0416594115,0,206.4596473218178,29.13639112135904,28.824966364548782,235.28461368636658,288.13783556161644,288.3405069457694,288.37819069515155,288.37819069515155,281.2545350949018,281.25070522784387,281.25008292424997,281.25000764647837,281.25000057117995,281.2500000700435,281.25000057117995,281.25000764647837,281.25008292424997,281.25070522784387,281.2545350949018
0.16,0.06697280791263821,1.9847088262849732,288.13709939665694,318.06030595738616,156008.71726618457,0,210.6706520244714,29.67057589344246,28.820978818325713,239.49163084279712,288.13709939665694,288.3550536032458,288.3955789477875,288.3955789477875,281.25473129130063,281.2507542565919,281.2500912857342,281.2500086889774,281.2500006716684,281.2500000853636,281.2500006716684,281.2500086889774,281.2500912857342,281.2507542565919,281.25473129130063
0.165,0.06936360567355844,2.0979650425993515,288.1363632317237,341.16930169876775,161576.27965606214,0,214.84635261345727,30.19529610480851,28.816981988313405,243.66333460177069,288.1363632317237,288.3701556834386,288.4136258928954,288.4136258928954,281.254929793031,281.25080491323627,281.2501001569587,281.2500098289508,281.2500007852539,281.25000010328733,281.2500007852539,281.2500098289508,281.2501001569587,281.25080491323627,281.254929793031
0.17,0.07175440343447867,2.21122125891373,288.1356270668167,365.08829516765087,167143.72883036465,0,218.9906571669503,30.711036868155745,28.812976070604716,247.80363323755503,288.1356270668167,288.38581318221827,288.4323315254258,288.4323315254258,281.2551305515051,281.2508571910403,281.2501095487133,281.25001107141037,281.25000091306595,281.2500001241355,281.25000091306595,281.25001107141037,281.2501095487133,281.2508571910403,281.2551305515051
0.17500000000000002,0.07414520119539889,2.3244774752281083,288.13489090193593,389.8172537184979,172711.06479041252,0,223.10718683088948,31.21824320399456,28.808961241628122,251.9161480725176,288.13489090193593,288.40202609545497,288.45169584032925,288.45169584032925,281.25533352300613,281.2509110828957,281.2501194714315,281.25001242139706,281.2500010562808,281.25000014825366,281.2500010562808,281.25001242139706,281.2501194714315,281.2509110828957,281.25533352300613
0.18,0.0765359989563191,2.437733691542486,288.1341547370814,415.356144706484,178278.2875375262,0,227.19930734943927,31.717324531733997,28.804937659726274,256.0042450091655,288.1341547370814,288.41879441901904,288.4717188325563,288.4717188325563,281.2555386682977,281.25096658140257,281.25012993519636,281.25001388397504,281.2500012161211,281.2500001760127,281.2500012161211,281.25001388397504,281.25012993519636,281.25096658140257,281.2555386682977
0.185,0.07892679671723933,2.5509899078568647,288.1334185722531,441.7049354874976,183845.39707302646,0,231.27015622372727,32.20865853391829,28.80090546656568,260.07106169029294,288.1334185722531,288.43611814878085,288.49240049705753,288.49240049705753,281.2557459522741,281.2510236789417,281.25014094974694,281.2500154642266,281.25000139385537,281.25000020780953,281.25000139385537,281.2500154642266,281.25014094974694,281.2510236789417,281.2557459522741
0.19,0.08131759447815956,2.6642461241712434,288.132682407451,468.8635934181373,189412.39339823328,0,235.32266622003908,32.69259449734513,28.79686478840303,264.1195310084421,288.132682407451,288.4539972806107,288.5137408287835,288.5137408287835,281.255955343647,281.25108236773906,281.25015252448577,281.25001716724677,281.25000159079684,281.2500002440678,281.25000159079684,281.25001716724677,281.25015252448577,281.25108236773906,281.255955343647
0.195,0.08370839223907978,2.7775023404856216,288.13194624267516,496.8320858557155,194979.27651446714,0,239.35958581197875,33.169456215101384,28.792815737225954,268.1524015492047,288.13194624267516,288.4724318103789,288.5357398226849,288.5357398226849,281.25616681466266,281.2511426399237,281.250164668487,281.2500189981387,281.2500018083032,281.25000028523823,281.2500018083032,281.2500189981387,281.250164668487,281.2511426399237,281.25616681466266
0.2,0.08609919,2.8907585568000003,288.1312100779256,525.6103801582572,200546.04642304854,0,243.38349703339713,33.63954451804837,28.78875841178101,272.17225544517817,288.1312100779256,288.49142173395586,288.55839747371226,288.55839747371226,281.25638034084733,281.2512044875799,281.2501773905051,281.25002096200905,281.25000204777535,281.2500003317994,281.25000204777535,281.25002096200905,281.2501773905051,281.2512044875799,281.25638034084733
0.20500000000000002,0.0885020705,3.0848785749600003,288.1299482989936,555.3447469756172,206139.35025573176,0,247.39801953529658,34.10528902993477,28.78241152095911,276.1804310562557,288.1299482989936,288.51054467447335,288.58131057543983,288.58131057543983,281.2565959007758,281.2512679027935,281.2501906989839,281.25002306396345,281.25000231065684,281.25000038425804,281.25000231065684,281.25002306396345,281.2501906989839,281.2512679027935,281.2565959007758
0.21,0.090904951,3.2789985931199994,288.1286865201388,585.8964736683959,211732.4590964354,0,251.40366366677668,34.56473484552682,28.776056569743552,280.1797202365202,288.1286865201388,288.5302285548265,288.604888908458,288.604888908458,281.2568134746784,281.25133287769387,281.2502046020662,281.2500253091027,281.25000259843284,281.2500004431494,281.25000259843284,281.2500253091027,281.2502046020662,281.25133287769387,281.2568134746784
0.215,0.0933078315,3.47311861128,288.127424741361,617.2655037423242,217325.37294905787,0,255.402640400904,35.018129871423106,28.76969362495211,284.1723340258561,288.127424741361,288.5504733678654,288.6291324640243,288.6291324640243,281.25703304599006,281.2513994044734,281.2502191076037,281.2500277025187,281.2500029126292,281.250000509038,281.2500029126292,281.2500277025187,281.2502191076037,281.2513994044734,281.25703304599006
0.22,0.095710712,3.66723862944,288.12616296266026,649.4517807052487,222918.09181749795,0,259.39704392423454,35.465706153939685,28.763322743198845,288.1603666674334,288.12616296266026,288.57127910644004,288.65404123339647,288.65404123339647,281.2572546006734,281.25146747542976,281.2502342231663,281.2500302492912,281.25000325481176,281.2500005825175,281.25000325481176,281.2500302492912,281.2502342231663,281.25146747542976,281.2572546006734
0.225,0.0981135925,3.8613586476000004,288.1249011840366,682.4552480671256,228510.61570565306,0,263.3888615072515,35.90768126445885,28.756943971552506,292.145805478804,288.1249011840366,288.5926457634003,288.679615207832,288.679615207832,281.25747812705526,281.2515370829975,281.2502499560524,281.2500329544842,281.250003626585,281.2500006642114,281.250003626585,281.2500329544842,281.2502499560524,281.2515370829975,281.25747812705526
0.23,0.10051647300000001,4.055478665760001,288.12363940549,716.2758493400277,234102.94461742204,0,267.379982305636,36.344259532971066,28.750557348142063,296.1305396537781,288.12363940549,288.6145733315965,288.70585437858875,288.70585437858875,281.2577036156769,281.2516082197754,281.2502663132993,281.250035823143,281.2500040295914,281.2500007547733,281.2500040295914,281.250035823143,281.2502663132993,281.2516082197754,281.2577036156769
0.23500000000000001,0.1029193535,4.24959868392,288.1223776270205,750.9135280381398,239695.07855670268,0,271.37220523126575,36.77563314965933,28.744162902711988,300.11636813397774,288.1223776270205,288.6370618038784,288.7327587369242,288.7327587369242,281.2579310591565,281.25168087855144,281.2502833016929,281.2500388602912,281.2500044655104,281.2500008548868,281.2500044655104,281.2500388602912,281.2502833016929,281.25168087855144,281.2579310591565
