t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0003,T_wall:y=0.0010,T_wall:y=0.0016,T_wall:y=0.0022,T_wall:y=0.0029,T_wall:y=0.0035,T_wall:y=0.0041,T_wall:y=0.0048,T_wall:y=0.0054,T_wall:y=0.0060,T_wall:y=0.0067,T_wall:y=0.0073,T_wall:y=0.0079,T_wall:y=0.0086,T_wall:y=0.0092
0.0,0.001,0.0,288.15,0.07092749999999999,4659.697449432362,1,-5.235978603782578,2.830337398590209,-8.109077523033351,-13.34505612681593,288.15,288.1500514368391,288.15005762999994,288.15005762999994,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.005,0.0033486667348666737,0.041084712388471244,288.1497329493712,0.7953465340755393,15603.71630418196,1,-13.766439061267294,7.442758625959134,-8.110023358553802,-21.876462419821095,288.1497329493712,288.15030973938707,288.15037918674807,288.15037918674807,289.9999517542782,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,289.9999517542782
0.01,0.0056973334697333474,0.08216942477694249,288.14946589874586,2.3022564647812094,26547.65444614034,1,-21.049752452240085,11.386016098080354,-8.110833279589297,-29.160585731829382,288.14946589874586,288.1511355153824,288.1513365425259,288.1513365425259,289.9998727972302,289.9999998681547,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,289.9999998681547,289.9998727972302
0.015,0.008046000204600022,0.12325413716541372,288.14919884812394,4.591645857458002,37491.51187564897,1,-27.721682584961602,15.007090695620287,-8.111527611675745,-35.833210196637346,288.14919884812394,288.1525287632791,288.1529296955657,288.1529296955657,289.9997677216638,289.9999995212571,289.99999999963967,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,289.99999999963967,289.9999995212571,289.9997677216638
0.02,0.010394666939466696,0.16433884955388497,288.1489317975055,7.6635032775374,48435.28859304925,1,-33.986806263067905,18.419542394461814,-8.112116451866765,-42.09892271493467,288.1489317975055,288.15448948153113,288.1551586440999,288.1551586440999,289.99963880908916,289.9999988891053,289.99999999833335,289.99999999999903,290.0,290.0,290.0,290.0,290.0,290.0,290.0,289.99999999999903,289.99999999833335,289.9999988891053,289.99963880908916
0.025,0.01274333367433337,0.20542356194235623,288.1486647468905,11.517817290541393,59378.98459868271,1,-39.94431951021008,21.679767435347838,-8.112606595611734,-48.056926105821816,288.1486647468905,288.15701766859223,288.1580233863607,288.1580233863607,289.999487594957,289.9999979081143,289.9999999953066,289.9999999999945,290.0,290.0,290.0,290.0,290.0,290.0,290.0,289.9999999999945,289.9999999953066,289.9999979081143,289.999487594957
0.03,0.015092000409200043,0.24650827433082745,288.14839769627895,16.15457646208246,70322.59989289075,1,-45.651256929204706,24.821231543222364,-8.113003231904539,-53.76426016110925,288.14839769627895,288.16011332291623,288.1615239205802,288.1615239205802,289.9993152517049,289.9999965192406,289.99999998961556,289.9999999999817,290.0,290.0,290.0,290.0,290.0,290.0,290.0,289.9999999999817,289.99999998961556,289.9999965192406,289.9993152517049
0.035,0.017440667144066717,0.2875929867192987,288.1481306456709,21.573769357863593,81266.13447601486,1,-51.14368081399234,27.865956868908402,-8.113310622293698,-59.256991436286036,288.1481306456709,288.1637764429572,288.16566024499093,288.16566024499093,289.9991227421922,289.99999466696477,289.9999999801601,289.99999999995345,289.99999999999994,290.0,290.0,290.0,290.0,290.0,289.99999999999994,289.99999999995345,289.9999999801601,289.99999466696477,289.9991227421922
0.04,0.01978933387893339,0.32867769910776995,288.1478635950662,27.775384543678253,92209.58834839646,1,-56.445779792652814,30.829461202371245,-8.113532439010145,-64.55931223166296,288.1478635950662,288.16800702716876,288.1704323578249,288.1704323578249,289.9989108961054,289.99999229869917,289.99999996569437,289.9999999998995,289.99999999999983,290.0,290.0,290.0,290.0,290.0,289.99999999999983,289.9999999998995,289.99999996569437,289.99999229869917,289.9989108961054
0.045,0.022138000613800064,0.3697624114962412,288.14759654446505,34.75941058541042,103152.961510377,1,-61.57440909721198,33.72322656674466,-8.113671956583383,-69.68808105379537,288.14759654446505,288.172805074005,288.1758402573146,288.1758402573146,289.99868045325866,289.9999893644076,289.99999994483557,289.9999999998063,289.99999999999955,290.0,290.0,290.0,290.0,290.0,289.99999999999955,289.9999999998063,289.99999994483557,289.9999893644076,289.99868045325866
