Temp [K],Cp[J/KgK]
293.4782609,1226.209048
400.621118,1316.068643
507.7639752,1415.288612
619.5652174,1492.043682
726.7080745,1574.414977
833.8509317,1649.297972
940.9937888,1716.692668
1052.795031,1795.319813
1159.937888,1855.226209
1267.080745,1907.644306
1378.881988,1969.422777
1486.024845,2018.096724
1593.167702,2074.25897
1695.652174,2107.956318
1812.111801,2141.653666
1919.254658,2171.606864
2031.055901,2214.664587
2133.540373,2218.408736
2240.68323,2240.873635
2352.484472,2255.850234
2459.627329,2263.338534
2576.086957,2276.443058
2678.571429,2289.547582
2785.714286,2291.419657
2892.857143,2297.035881
