q,Qstar
4342301.943,111278195.5
4656203.288,121052631.6
4865470.852,127067669.2
5231689.088,145112782
5650224.215,154135338.3
5859491.779,169172932.3
6278026.906,178195488.7
6696562.033,190225563.9
7010463.378,203007518.8
7324364.723,215789473.7
8004484.305,230075188
8579970.105,245864661.7
8998505.232,261654135.3
9573991.031,278947368.4
9887892.377,288721804.5
10411061.29,303007518.8
10777279.52,317293233.1
11248131.54,328571428.6
11980568.01,339097744.4
12608370.7,361654135.3
13131539.61,372932330.8
13550074.74,379699248.1
14177877.43,392481203
14701046.34,410526315.8
15276532.14,424060150.4
16113602.39,438345864.7
16898355.75,445112782
17264573.99,460150375.9
17787742.9,475187969.9
19147982.06,475939849.6
20089686.1,490977443.6
20979073.24,504511278.2
21973094.17,505263157.9
23124065.77,505263157.9
24693572.5,505263157.9
26158445.44,503759398.5
27361733.93,503759398.5
27937219.73,487218045.1
28617339.31,487218045.1
29140508.22,480451127.8
29663677.13,471428571.4
30134529.15,465413533.8
30814648.73,455639097.7
31180866.97,441353383.5
31704035.87,442105263.2
32122571,435338345.9
32541106.13,427819548.9
33168908.82,420300751.9
