t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0000,T_wall:y=0.0011,T_wall:y=0.0022,T_wall:y=0.0033,T_wall:y=0.0044,T_wall:y=0.0056,T_wall:y=0.0067,T_wall:y=0.0078,T_wall:y=0.0089,T_wall:y=0.0100
0.0,0.001,0.0,288.15,0.07092749999999999,4659.697449432362,0,-4.741984555198801,2.563302225720677,-8.109077523033351,-12.851062078232152,288.15,288.15004859449783,288.15005762999994,288.15005762999994,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.005,0.0028641616864161687,0.03128170332817033,288.14979666892935,0.5818460677330834,13346.08943352433,0,-8.024540655027941,4.338081428422239,-8.109896262034896,-16.134436917062835,288.14979666892935,288.15019530983784,288.15026943181516,288.15026943181516,289.9999855425552,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.01,0.0047283233728323375,0.06256340665634066,288.1495933378607,1.5857173284529713,22032.43264061041,0,-10.30756673343659,5.573803263589321,-8.110699708374385,-18.418266441810974,288.1495933378607,288.15067976560044,288.1508817723681,288.1508817723681,289.9999676299157,289.99999976139793,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.015,0.006592485059248506,0.093845109984511,288.1493900067941,3.082535797382568,30718.727070847683,0,-12.165455791960586,6.581452324692634,-8.111493073356257,-20.276948865316843,288.1493900067941,288.1515019610922,288.15189465081085,288.15189465081085,289.9999474396559,289.99999923504583,289.9999999960622,290.0,290.0,290.0,290.0,290.0,290.0,290.0
0.02,0.008456646745664674,0.12512681331268133,288.1491866757295,5.072295989777835,39404.97272439331,0,-13.769692299711446,7.454102595036914,-8.112278618970091,-21.88197091868154,288.1491866757295,288.1526618956198,288.1533080662956,288.1533080662956,289.9999254829066,289.9999983927873,289.99999998356753,289.999999999935,290.0,290.0,290.0,290.0,290.0,290.0
0.025,0.010320808432080844,0.15640851664085167,288.1489833446668,7.554992420927783,48091.1696014044,0,-15.199291601591767,8.234784428265298,-8.113057714048205,-23.31234931563997,288.1489833446668,288.1541595684895,288.15512201797424,288.15512201797424,289.99990206897576,289.99999721575466,289.99999995758384,289.999999999666,289.9999999999989,290.0,290.0,290.0,290.0,290.0
0.03,0.01218497011849701,0.187690219969022,288.1487800136062,10.53061960615446,56777.31770203801,0,-16.498328190208493,8.947603104894862,-8.113831310057046,-24.61215950026554,288.1487800136062,288.15599497900797,288.15733650499897,288.15733650499897,289.99987741286145,289.99999569072645,289.99999991302786,289.999999998977,289.99999999999346,290.0,290.0,290.0,290.0,290.0
0.035,0.01404913180491318,0.21897192329719237,288.14857668254757,13.999172060812986,65463.417026451294,0,-17.694297592083398,9.607675322230335,-8.114600122359416,-25.808897714442814,288.14857668254757,288.1581681264819,288.1599515265219,288.1599515265219,289.9998516762103,289.99999380838193,289.99999984476256,289.9999999975753,289.9999999999768,289.9999999999999,290.0,290.0,290.0,290.0
0.04,0.01591329349132935,0.25025362662536266,288.14837335149093,17.960644300291516,74149.46757480135,0,-18.805674132820705,10.225221037972506,-8.115364716937737,-26.921038849758443,288.14837335149093,288.1606790102176,288.1629670816952,288.1629670816952,289.99982498691423,289.99999156229103,289.9999997476616,289.99999999509294,289.99999999993753,289.9999999999995,290.0,290.0,290.0,290.0
0.045,0.017777455177745517,0.281535329953533,288.14817002043634,22.415030840011273,82835.46934724534,0,-19.84554597357873,10.807532615158154,-8.116125557982812,-27.961671531561542,288.14817002043634,288.1635276295217,288.1663831696707,288.1663831696707,289.9997974498639,289.99998894826194,289.9999996166558,289.99999999108934,289.9999999998586,289.99999999999847,290.0,290.0,290.0,290.0
