Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,35,0,0,73,95.04903,7.066996,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,B,0.09999999,0.03828323,0,0.7793805,0,630.7666,34.76107,0.08327241,0,72.75824,95.04903,7.144484,551.571144432403,551.571144431462,0.0010188274476851,47.8842100000831,47.88421,0.00008918915,89.9999,89.9999,2.052605,0.000003863242
0.2,B,0.2,0.08609919,0,0.6751049,0,598.8646,34.44655,0.3647567,0,72.51647,95.04903,7.221972,526.840934797688,526.840934796785,0.000975665090053147,100.553100000173,100.5531,0.0001867292,89.9999,89.9999,9.484116,0.00001767599
0.3,B,0.3,0.1341568,0,0.6269444,0,605.5634,34.13445,0.8220731,0,72.27471,95.04903,7.29946,537.812825145162,537.812825144121,0.00105845633031939,153.841028131497,153.841028131231,0.000285985763066611,89.99989,89.99989,22.22165,0.00004126727
0.3999999,B,0.3999999,0.1832172,0,0.5962821,0,612.271,33.81887,1.457406,0,72.03295,95.04903,7.376948,548.89942442511,548.89942442401,0.00109885350897344,208.231223501323,208.23122350095,0.000394092096821742,89.99989,89.99989,40.58807,0.00007523808
0.4999998,B,0.4999998,0.2332945,0,0.5741467,0,618.9871,33.4998,2.273463,0,71.79119,95.04903,7.454436,560.091031196919,560.091031195768,0.00113565481834471,263.735826489995,263.73582648951,0.00050602370966177,89.99989,89.99989,64.4547,0.0001202136
0.5999997,B,0.5999997,0.2844014,0,0.558368,0,625.712,33.17725,3.282597,0,71.54942,95.04903,7.531924,571.381931361854,571.381931360656,0.00117029495604084,320.365180887569,320.365180886966,0.000621508597945162,89.99989,89.99989,93.93358,0.0001765618
0.6999996,B,0.6999996,0.3365502,0,0.5464331,0,632.4459,32.85122,4.493284,0,71.30766,95.04903,7.609412,582.770797723129,582.770797721886,0.00120353318341407,378.128933745535,378.12893374481,0.000740375542169931,89.99989,89.99989,129.1377,0.0002446286
0.7999995,B,0.7999995,0.3897535,0,0.5367035,0,639.1887,32.52169,5.910845,0,71.0659,95.04903,7.6869,594.259005161247,594.259005159962,0.00123582233788654,437.037053742049,437.037053741198,0.000862511220357312,89.99989,89.99989,170.1811,0.0003247463
0.8999994,B,0.8999994,0.4440241,0,0.5285993,0,645.9407,32.18869,7.543889,0,70.82413,95.04903,7.764388,605.844892693405,605.844892692079,0.00126744784921854,497.099379299252,497.099379298271,0.000987837418994604,89.99989,89.99989,217.1787,0.0004172377
0.9999993,B,0.9999993,0.4993749,0,0.5220449,0,652.702,31.8522,9.40693,0,70.58237,95.04903,7.841876,617.520695821037,617.520695819672,0.00129858981252329,558.325428961024,558.325428959908,0.00111629862995276,89.99989,89.99989,270.2464,0.0005224188
1.099999,B,1.099999,0.555816,0,0.5190247,0,659.4729,31.51222,11.56315,0,70.34061,95.04903,7.919363,629.228176831253,629.228176829849,0.00132927031336429,620.720924932206,620.720924930952,0.00124784796120075,89.99989,89.99989,329.501,0.0006406009
1.199999,B,1.199999,0.6133569,0,0.5161787,0,666.2533,31.16875,13.97327,0,70.09885,95.04903,7.996851,641.013692244152,641.01369224271,0.00135968167955877,684.291645287064,684.291645285668,0.00138245018846356,89.99989,89.99989,395.0598,0.0007720907
1.299999,B,1.299999,0.6720025,0,0.5184519,0,673.0434,30.82181,16.80627,0,69.85709,95.04903,8.074339,652.705985990538,652.705985989059,0.00138955351832586,749.035933890674,749.035933889131,0.00152006365036578,89.99989,89.99989,467.0402,0.0009171917
1.399999,B,1.399999,0.7317539,0,0.5207556,0,679.3837,30.47137,19.96351,0,69.61533,95.04903,8.151827,663.926353990901,663.926353989386,0.00141816814738034,814.945421535656,814.945421533964,0.0016606394019953,89.99989,89.99989,545.5594,0.001076203
1.499999,B,1.499999,0.792288,0,0.5230771,0,679.6257,30.11907,23.43993,0,69.37357,95.04903,8.229315,668.597355529653,668.597355528117,0.00143313298869605,881.596649089493,881.596649087649,0.00180328550871929,89.99988,89.99988,630.716,0.001249387
1.599999,B,1.599999,0.8532933,0,0.5254043,0,679.8776,29.76671,27.22479,0,69.13181,95.04903,8.306803,673.057618881626,673.05761888007,0.00144735318120804,948.70348628282,948.703486280821,0.00194738699523151,89.99988,89.99988,722.563,0.001436909
1.699999,B,1.699999,0.9147538,0,0.534981,0,680.1394,29.41428,31.75181,0,68.89004,95.41631,8.502011,676.822097331367,676.822097329793,0.00145986901092729,1016.23790494536,1016.23790494321,0.00209285730416329,89.99988,89.99988,821.1445,0.00163891
1.799999,B,1.799999,0.9764245,0,0.5973321,0,680.4112,29.0618,40.24927,0,68.64828,96.95155,9.071563,676.270873564172,676.270873562589,0.00146322433401432,1083.887529929,1083.88752992669,0.00223902643608212,89.99988,89.99988,926.4894,0.001855501
1.899999,B,1.899999,1.038087,0,0.6545877,0,680.6927,28.70926,49.66365,0,68.40652,98.4866,9.641051,674.690563660996,674.690563659407,0.00146418118309495,1151.43938136068,1151.43938135821,0.00238542785325094,89.99988,89.99988,1038.595,0.002086723
1.999998,B,1.999998,1.099753,0,0.6696896,0,680.9839,28.35666,56.79378,0,68.16476,98.85976,9.838142,675.693606540278,675.693606538679,0.00147025513748879,1218.93842490498,1218.93842490235,0.00253212957177629,89.99988,89.99988,1157.45,0.002332595
2.099998,B,2.099998,1.161593,0,0.6858709,0,681.2846,28.00401,64.6122,0,67.92299,98.63581,9.843853,675.94245991143,675.942459909822,0.00147456415674141,1286.53306992848,1286.53306992569,0.00267941780857973,89.99988,89.99988,1283.061,0.002593169
2.199998,B,2.199998,1.223479,0,0.7083409,0,681.0975,27.65131,73.6918,0,67.68123,98.41535,9.850681,674.160567095116,674.160567093504,0.00147445001515378,1354.06435155884,1354.06435155589,0.00282694260086237,89.99988,89.99988,1415.43,0.002868487
2.299998,B,2.299998,1.285135,0,0.7415228,0,679.8626,27.29912,84.70668,0,67.43947,98.19117,9.856316,668.798676182418,668.79867618081,0.001466660132226,1421.20817979208,1421.20817978897,0.00297400829947053,89.99988,89.99988,1554.534,0.003158542
2.399998,B,2.399998,1.34628,0,0.7860385,0,678.6368,26.94769,98.04243,0,67.1977,98.05502,9.890164,660.510960085297,660.5109600837,0.00145253517896966,1487.65794603079,1487.65794602752,0.00311995313680822,89.99988,89.99988,1700.317,0.003463252
