Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,60.6,0,0,84,95.24497,2.797257,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,B,0.09999999,0.05921838,0,0.5154142,0,1487.071,60.05075,0.2194098,0,83.72676,95.24497,2.865227,764.451394686654,764.451394685389,0.001390373563368,73.1819200001215,73.18192,0.000133342,89.9999,89.9999,3.492565,0.000006376446
0.2,B,0.2,0.1287205,0,0.4566187,0,1492.07,59.37676,0.9180888,0,83.45352,95.24497,2.933197,775.824094045116,775.824094043834,0.00141022266588084,150.208900000249,150.2089,0.0002733948,89.9999,89.9999,14.65193,0.00002669554
0.3,B,0.3,0.1993408,0,0.4284293,0,1498.87,58.69992,2.064619,0,83.18027,95.24497,3.001168,788.204965726594,788.204965725155,0.00150590081254967,228.471524232488,228.471524232102,0.00041968788441179,89.99989,89.99989,33.81128,0.00006124589
0.3999999,B,0.3999999,0.271102,0,0.4108847,0,1505.985,58.01999,3.65906,0,82.90704,95.24497,3.069138,800.86705090703,800.867050905534,0.00154802450019292,307.980812225748,307.980812225216,0.000572620765931309,89.99989,89.99989,61.02102,0.0001108269
0.4999998,B,0.4999998,0.344077,0,0.3993427,0,1514.7,57.33652,5.721889,0,82.6338,95.24497,3.137109,814.515863188272,814.515863186724,0.00158822813837011,388.817168388926,388.817168388241,0.000729655978024436,89.99989,89.99989,96.25382,0.0001759077
0.5999997,B,0.5999997,0.4183207,0,0.3906495,0,1523.427,56.64913,8.261664,0,82.36056,95.24497,3.205079,828.289781648047,828.28978164645,0.00162634648704845,471.025290006718,471.025290005876,0.000890588802680337,89.99989,89.99989,139.6456,0.0002568885
0.6999996,B,0.6999996,0.4938517,0,0.3840678,0,1532.168,55.9578,11.30108,0,82.08731,95.24497,3.273049,842.18308424033,842.183084238688,0.00166311705549812,554.617562447472,554.617562446468,0.00105525509308257,89.99989,89.99989,191.3343,0.0003541505
0.7999995,B,0.7999995,0.5706863,0,0.3806932,0,1540.921,55.26254,14.92871,0,81.81407,95.24497,3.34102,856.151282057266,856.15128205558,0.00169889606248526,639.603291665165,639.603291663995,0.00122354106416799,89.99989,89.99989,251.4587,0.0004680608
0.8999994,B,0.8999994,0.6488401,0,0.3794351,0,1549.688,54.56335,19.18987,0,81.54083,95.24497,3.40899,870.173410157999,870.173410156271,0.00173392637341716,725.990598832389,725.990598831048,0.00139536532919688,89.99989,89.99989,320.1588,0.0005989773
0.9999993,B,0.9999993,0.7283213,0,0.3806487,0,1558.467,53.86024,24.19398,0,81.26759,95.24497,3.47696,884.188942011228,884.18894200946,0.00176828232432912,813.778421714896,813.77842171338,0.00157065166523729,89.99989,89.99989,397.5746,0.0007472498
1.099999,B,1.099999,0.8091411,0,0.3818731,0,1567.261,53.15319,29.87103,0,80.99435,95.24497,3.544931,898.24417850605,898.244178504242,0.00180218695364348,902.970067496274,902.97006749458,0.001749348006446,89.99989,89.99989,483.8463,0.0009132217
1.199999,B,1.199999,0.8911182,0,0.3831054,0,1567.434,52.44362,36.23118,0,80.72111,95.24497,3.612901,907.016408850469,907.016408848632,0.00182539498521471,993.30167674557,993.301676743693,0.00193089485502619,89.99989,89.99989,579.1047,0.001097216
1.299999,B,1.299999,0.9737664,0,0.4662681,0,1566.766,51.73435,52.47023,0,80.44787,97.10304,4.143078,909.309884370702,909.309884368849,0.00183555601183248,1084.21395539793,1084.21395539587,0.00211416143469931,89.99989,89.99989,683.4341,0.001299462
1.399999,B,1.399999,1.056468,0,0.5693806,0,1566.112,51.02546,75.13091,0,80.17463,99.08308,4.703596,907.599819126594,907.599819124734,0.00183746989189269,1175.03993161095,1175.0399316087,0.00229780440966425,89.99989,89.99989,796.8529,0.00152006
1.499999,B,1.499999,1.139468,0,0.5546519,0,1565.471,50.31694,84.78617,0,79.90139,99.62924,4.907426,914.229302179868,914.229302177985,0.00185533485418701,1266.16558885166,1266.16558884923,0.00248253837991265,89.99989,89.99989,919.3635,0.001759062
1.599999,B,1.599999,1.223178,0,0.535312,0,1561.466,49.6089,93.87335,0,79.62814,99.73507,5.001722,919.230990295222,919.230990293321,0.00186973600583221,1357.93479903149,1357.93479902887,0.0026690058222031,89.99989,89.99989,1051.023,0.002016627
