#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 5939, 3,KM4LKS,    -0.30, 3,   boost,    0.98,  94945.00,  545.16,    1.05,    0.00, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.29, 3,   boost,   -0.98,  94970.00,  542.97,   -1.14,    0.00, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.28, 3,   boost,    0.49,  94982.00,  541.92,   -2.19,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.27, 3,   boost,    2.45,  94967.00,  543.23,   -0.88,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.26, 3,   boost,   -0.98,  94971.00,  542.88,   -1.23,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.25, 3,   boost,   -0.00,  94961.00,  543.76,   -0.35,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.24, 3,   boost,   -2.94,  94952.00,  544.55,    0.44,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.23, 3,   boost,    0.98,  94953.00,  544.46,    0.35,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.22, 3,   boost,   -0.00,  94958.00,  544.02,   -0.09,    0.01, 21.9, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.21, 3,   boost,    1.96,  94943.00,  545.34,    1.23,    0.01, 21.9, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
