Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.0,S,0.0,0.0,0,0.0,0,0.0,42.6,0.0,0,51.33,58.08021,1.687552,0.0,0.0,0.0,0.0,0.0,0.0,89.9999,89.9999,0.0,0.0
0.01,S,0.01,0.01,0,0.6251605,0,799.4337,42.6,0.0,0,51.31866,58.08021,1.690387,571.604858223829,571.604858222858,0.0010537928718356,5.71604800000971,5.716048,1.053793e-05,89.9999,89.9999,0.02858024,5.268965e-08
0.02,S,0.02,0.01,0,0.6251608,0,1512.554,42.58202,0.002004492,0,51.30732,58.08021,1.693223,1110.67531341845,1110.67531341666,0.0019946482756769,16.8228000000276,16.8228,3.048441e-05,89.9999,89.9999,0.1412745,2.578013e-07
0.03,S,0.03,0.01520063,0,0.5754654,0,1514.457,42.52828,0.01598215,0,51.29598,58.08021,1.696058,1113.54876525678,1113.54876525498,0.001999663396031,27.9582900000456,27.95829,5.048105e-05,89.9999,89.9999,0.3651799,6.626286e-07
0.04,S,0.04,0.02526237,0,0.5230781,0,1516.36,42.45993,0.04012406,0,51.28464,58.08021,1.698893,1116.8172649445,1116.8172649427,0.0020053680034785,39.1264600000636,39.12646,7.053473e-05,89.9999,89.9999,0.7006037,1.267707e-06
0.05,S,0.05,0.03535368,0,0.4924927,0,1517.546,42.39149,0.07398678,0,51.2733,58.08021,1.701728,1119.54598627577,1119.54598627397,0.0020101305206017,50.3219200000816,50.32192,9.063603e-05,89.9999,89.9999,1.147846,2.073561e-06
0.05999999,S,0.05999999,0.04546968,0,0.4714555,0,1512.262,42.32297,0.1171556,0,51.26196,58.08021,1.704563,1117.36102976401,1117.36102976221,0.002006317052938,61.4955300000996,61.49553,0.0001106992,89.9999,89.9999,1.706933,3.080238e-06
0.06999999,S,0.06999999,0.05556599,0,0.4557346,0,1506.978,42.25456,0.1691222,0,51.25062,58.08021,1.707398,1115.15973267916,1115.15973267736,0.002002475064798,72.6471300001176,72.64713,0.0001307239,89.9999,89.9999,2.377646,4.287353e-06
0.07999999,S,0.07999999,0.0656425,0,0.4433253,0,1501.695,42.18638,0.2295902,0,51.23928,58.08021,1.710233,1112.93864576062,1112.93864575883,0.0019985985402767,83.7765200001356,83.77652,0.0001507099,89.9999,89.9999,3.159764,5.694522e-06
0.08999999,S,0.08999999,0.07569899,0,0.4331579,0,1496.413,42.11845,0.2983155,0,51.22794,58.08021,1.713068,1110.69777653573,1110.69777653394,0.0019946874822734,94.8835000001535,94.8835,0.0001706568,89.9999,89.9999,4.053064,7.301355e-06
