Temp,Cp (J/KgK),k (W/mK),mu (kg/m s),Pr,,Props independent of Pressure (Ideal Gas)
123.15,983,0.01171,8.64E-06,0.7246,,Source: Fundamentals of Thermal-Fluid Sciences
173.15,966,0.01582,1.19E-05,0.7263,,
223.15,999,0.01979,1.47E-05,0.744,,
233.15,1002,0.02057,1.53E-05,0.7436,,
243.15,1004,0.02134,1.58E-05,0.7425,,
253.15,1005,0.02211,1.63E-05,0.7408,,
263.15,1006,0.02288,1.68E-05,0.7387,,
273.15,1006,0.02364,1.73E-05,0.7362,,
278.15,1006,0.02401,1.75E-05,0.735,,
283.15,1006,0.02439,1.78E-05,0.7336,,
288.15,1007,0.02476,1.80E-05,0.7323,,
293.15,1007,0.02514,1.83E-05,0.7309,,
298.15,1007,0.02551,1.85E-05,0.7296,,
303.15,1007,0.02588,1.87E-05,0.7282,,
308.15,1007,0.02625,1.90E-05,0.7268,,
313.15,1007,0.02662,1.92E-05,0.7255,,
318.15,1007,0.02699,1.94E-05,0.7241,,
323.15,1007,0.02735,1.96E-05,0.7228,,
333.15,1007,0.02808,2.01E-05,0.7202,,
343.15,1007,0.02881,2.05E-05,0.7177,,
353.15,1008,0.02953,2.10E-05,0.7154,,
363.15,1008,0.03024,2.14E-05,0.7132,,
373.15,1009,0.03095,2.18E-05,0.7111,,
393.15,1011,0.03235,2.26E-05,0.7073,,
413.15,1013,0.03374,2.35E-05,0.7041,,
433.15,1016,0.03511,2.42E-05,0.7014,,
453.15,1019,0.03646,2.50E-05,0.6992,,
473.15,1023,0.03779,2.58E-05,0.6974,,
523.15,1033,0.04104,2.76E-05,0.6946,,
573.15,1044,0.04418,2.93E-05,0.6935,,
623.15,1056,0.04721,3.10E-05,0.6937,,
673.15,1069,0.05015,3.26E-05,0.6948,,
723.15,1081,0.05298,3.42E-05,0.6965,,
773.15,1093,0.05572,3.56E-05,0.6986,,
873.15,1115,0.06093,3.85E-05,0.7037,,
973.15,1135,0.06581,4.11E-05,0.7092,,
1073.15,1153,0.07037,4.36E-05,0.7149,,
1173.15,1169,0.07465,4.60E-05,0.7206,,
1273.15,1184,0.07868,4.83E-05,0.726,,
1773.15,1234,0.09599,5.82E-05,0.7478,,
2273.15,1264,0.11113,6.63E-05,0.7539,,
